datetime_Europe_Brussels,Forecast (MWh)
2024-07-05 00:00:00+00:00,1205974.8206183899
2024-07-06 00:00:00+00:00,1353788.1617427277
2024-07-07 00:00:00+00:00,1331081.97377197
2024-07-08 00:00:00+00:00,1210992.6550713854
2024-07-09 00:00:00+00:00,1017311.2474350884
2024-07-10 00:00:00+00:00,873630.4574080207
2024-07-11 00:00:00+00:00,823475.4839445248
2024-07-12 00:00:00+00:00,898545.0547368149
2024-07-13 00:00:00+00:00,1045295.2012857654
2024-07-14 00:00:00+00:00,1197671.8848866487
2024-07-15 00:00:00+00:00,1279035.9462093217
2024-07-16 00:00:00+00:00,1259652.0303249438
2024-07-17 00:00:00+00:00,1152688.7090747384
2024-07-18 00:00:00+00:00,1015663.7780162089
